,Message,Retweet Count,Created At,Username,Geo,Coord,Metadata
28,"Videoclip de ""Yes, I sold my soul"", del álbum ""Demon Lover"".  https://t.co/KKWjC1dJ0V #Stoner #Rock #Metal #ElSanto #SantoElEnmascaradoDePlata @ElHijodelSanto #FelizJueves https://t.co/DHysKNjYwI",1,2019-09-05 17:48:10,El Dirty,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
29,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas: __  @Daraaoficial 

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/JYEGWn2c8Z",0,2019-09-05 17:48:05,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
30,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas: @JorgeAMarte__  

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/lSd9Mk9dsJ",0,2019-09-05 17:47:33,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
31,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas:  @maleboux 

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/igcyfpjM2L",0,2019-09-05 17:47:01,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
32,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas: @SantaKimOficial 

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/QjazrAsJk8",0,2019-09-05 17:46:27,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
33,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas: @elvaronRock

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/TL5PCdCH1v",0,2019-09-05 17:45:46,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
34,Rocky IV • Burning Heart • #Survivor https://t.co/oDFkfoKhMz vía @YouTube #rock,0,2019-09-05 17:45:14,Gabriel Trejos Duque,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
35,"📌 🎸🎶 ¡Vení a rockear al @cordoba_rockea 

📆 14/09.
⏰ 19 hs.
🎟 Entrada libre y gratuita.
📍 @Makenaclub. 

🎤 + bandas: @elvaronRock @JorgeAMarte__  @Daraaoficial @SantaKimOficial @maleboux #BrownSugarSoul.

✅ ¡Te esperamos!🤘
#CasaDeCórdoba @gobdecordoba #rock #musica https://t.co/nwdQwz0o0F",0,2019-09-05 17:45:10,CordobaRockea,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
36,"Parte de mi Trabajo es 📷 ,
mas fotos en @woodstvcam #allison en #tampico #rock 🤟🏻
-
-
-
-
-
-
-
-
-
-
#photographer #photooftheday #picoftheday #me #follow #music #band #fotografia #show #instapic #instagram #insta… https://t.co/YEoIjQMIrE",0,2019-09-05 17:40:14,Orlando Woods,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
37,"Feliz cumpleaños @oscuroma
guitarra y voz de @oscuroma
#Música #Rock #Amorfo #MúsicaIndependiente #LosMochis #Sinaloa #México #RockMochitense https://t.co/ABgqS1SepQ",0,2019-09-05 17:36:01,Oscar Rockmero,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
38,"FESTIVAL INTERNACIONAL DE COMPOSITORAS.

TODA LA INFO EN: sonorabogota

#mandamusiclab #rock #rockandroll #rockcolombia #rockcolombiano #rockbogotano #bogotarock #musicacolombiana #musicacolombia #rockstar #audio… https://t.co/LTHfuSDjZ1",0,2019-09-05 17:34:26,M&A music LAB,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
39,"A veces solo queda esperar.

#gabochevez •
•
•
#bass #bassplayersunited #bassplayer #bassfeatured #bassplayermag #instabass #rock #bassguitar #bassist #bassporn #musician  #LimitedEdition  #sinkareta… https://t.co/bwmGId0qdm",0,2019-09-05 17:31:28,GABO Chevez,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
40,"Frediie Mercury: Cantante, compositor, pianista, de origen Británico, Conocido por haber sido el vocalista principal de la banda de rock Queen
Este jueves #5Sep cumpliría 73 años
#FelizJueves #BuenJueves #rock #RockosModernLife #ArtistaFavoritoMasculino https://t.co/YMlLLmWzj3",0,2019-09-05 17:29:02,EL ZK TWEETS🍹,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
41,#Aerosmith - Hole In My Soul (Official Music Video) https://t.co/HxiuZHHjFe vía @YouTube #rock,0,2019-09-05 17:27:29,Gabriel Trejos Duque,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
42,¿Has escuchado ‘Sueños’ de @EchoLuxes en #SoundCloud? #np #psychedelic #rock #newmusic #chile #valdivia #pop https://t.co/ew2gPAzA9m,0,2019-09-05 17:22:19,Echo Luxe,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
43,"""Hidden Port"" es el nuevo trabajo de mrmagoo_band editado por @clifford_recs y ya está disponible en su tienda amiga !!
#honkytonkdiscos #vigo #vinyljunkies #vinyl  #rock #mrmagoo #powerpop #rockandroll… https://t.co/2nBFsiagDi",0,2019-09-05 17:21:04,Honky Tonk Discos,"{'type': 'Point', 'coordinates': [42.23489637, -8.72879058]}","{'type': 'Point', 'coordinates': [-8.72879058, 42.23489637]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
44,"¡Ellos tienen el clero y nosotros nuestro sudor!
Feliz tarde de jueves con #rock
Mägo de Oz- Fiesta pagana 2.0 (Videoclip oficial) https://t.co/hyDMB5cniL vía @YouTube",0,2019-09-05 17:19:51,Carmen Rodríguez,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
45,"#IconosOroHits 📀 #FreddieMercuryBirthday  🎤 #Queen

El 🌎 entero rinde tributo a la mejor voz que ha dado el 🎸 #rock. Hoy cumpliría 73 años, pero es un grande y se hizo inmortal.

""No seré una estrella del rock, seré Leyenda"" 

@JFGC 🧔🏻🎙 #OnAir 📻🎶👉🏼 https://t.co/Ta26zwxRK9 https://t.co/qGjXrnimta",3,2019-09-05 17:14:55,Oro 94.9 solo Hits,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
46,"¿Estás en el sur y te hace falta un buen concierto? El día 14 revienta #Jerez a ritmo de #rock
https://t.co/p3j0B0xPZO",0,2019-09-05 17:10:23,Palabra de Rock,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
47,"#UnDíaComoHoy pero de 1946 nació Farrokh Bulsara, mejor conocido como Freddie Mercury. 
El frontman de @QueenWillRock es considerado el mejor cantante de la historia. 
🔥✨🎶

#Efeméride #JimmyWess #Rock #Música #Queen #FreddieMercury 

https://t.co/7fWT5evPsM",0,2019-09-05 17:08:35,JimmyWess,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
48,"Fieston para este sábado en Planet.🚀 audio.kinesis lanzando temas únicos con todo el feeling!.✨
.
Promo 3×2 HOFBRAU &amp; 2×1 Tragos 
.
️#planetbar #drinks #beer #rock #grunge #rockalternativo #musica  #powertrio… https://t.co/uyRBAPquHx",0,2019-09-05 17:03:49,planetbarpy,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
49,"Confirmado. #ElLocutorNoViene. Pero música no nos falta. Hasta las 17, en Radio X https://t.co/2ONis5TIun 
#Confirmed #RadioX #HayMusica #MasMusica #LaMusicaNoPara #MusicNeverStops #RockTheAfternon #rock #DontStopTheMusic #MusicNonstop #AfternoonMusic https://t.co/TJvZ3UV4c4",0,2019-09-05 17:01:24,RADIO X,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
50,#Música en directo en #MartindelaJara ¡Gratis! 13 de septiembre #rock #juventud https://t.co/bY5lzySDca,0,2019-09-05 17:00:28,Salta Lindes,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
51,"#georgeharrison #vinyl #beatlemania #70s #blues #60s #vintage #thebeatles #rock #rocknroll #guitarist #beatles #johnlennon #art #ringostarr #love #rockandroll #pinkfloyd #guitar #music #photography #liverpool #singer #nirvana #class
Yoko Ono - “No, no, no”
https://t.co/AszKRttB1U",0,2019-09-05 16:56:00,alejandro,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
52,"#5Sep 1946: nació uno de los más grandes cantantes de la historia del #Rock, Freddie Mercury, vocalista de Queen. Su influencia sigue presente.

#FreddieMercury #Queen #Música https://t.co/mXqVKSG5Oo",0,2019-09-05 16:48:00,artemúltiple,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
53,"🎧📀Eddie kostras mete el codo en la música con un EP de cuatro canciones: 'Masketa nostra'. Punk sin complejos y muy buenos cimientos.

Crítica 👉https://t.co/N96BitvIvb || #analisis #rock #punk #streetpunk #Oi! #musica https://t.co/qr1t0Re1dW",0,2019-09-05 16:40:02,Sabicio,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
